Banco,Contrato,Origen,Dia semana,Tipo archivo recaudo,Cuenta
itau corpbanca,servicios,n,2,pagos web,1
itau corpbanca,servicios,n,3,pagos web,1
itau corpbanca colombia s.a.,alumbrado publico,p,0,pagos web,1
itau corpbanca colombia s.a.,circulacion y transito,p,4,pagos web,1
itau corpbanca colombia s.a.,facilidades,p,2,pagos web,1
itau corpbanca colombia s.a.,impuesto predial,a,0,pagos web,1
itau corpbanca colombia s.a.,impuesto predial,a,1,pagos web,1
itau corpbanca colombia s.a.,impuesto predial,a,2,pagos web,1
itau corpbanca colombia s.a.,industria y comercio,a,1,pagos web,1
itau corpbanca colombia s.a.,industria y comercio,a,3,pagos web,1
itau corpbanca colombia s.a.,industria y comercio,a,4,pagos web,1
itau corpbanca colombia s.a.,industria y comercio,a,5,pagos web,1
inversora pichincha,facilidades,p,6,pagos web,1
inversora pichincha,facilidades,p,1,pagos web,1
hsbc bank middle east,impuesto predial,p,1,pagos web,1
huntington national bank,impuesto predial,p,0,pagos web,1
hsbc bank nevada n.a.,impuesto predial,p,3,pagos web,1
"hsbc bank nevada, n.a.",impuesto predial,n,0,pagos web,1
"hsbc bank nevada, n.a.",impuesto predial,p,0,pagos web,1
"hsbc bank nevada, n.a.",impuesto predial,p,1,pagos web,1
"hsbc bank nevada, n.a.",impuesto predial,p,3,pagos web,1
"hsbc bank nevada, n.a.",industria y comercio,n,2,pagos web,1
"hsbc bank nevada, n.a.",industria y comercio,n,4,pagos web,1
hsbc bank plc,impuesto predial,p,1,pagos web,1
hsbc bank plc,impuesto predial,p,3,pagos web,1
hsbc bank usa national associa,impuesto predial,p,4,pagos web,1
hsbc bank usa national associa,impuesto predial,p,6,pagos web,1
"hsbc mexico, s.a. institucion",impuesto predial,p,4,pagos web,1
ibercaja (caja de ahorros y mo,impuesto predial,p,1,pagos web,1
inversora pichincha,facilidades,a,4,pagos web,1
iberia cards,impuesto predial,n,2,pagos web,1
iberia cards,impuesto predial,p,0,pagos web,1
ing bank n.v.,impuesto predial,a,1,pagos web,1
ing bank n.v.,impuesto predial,n,0,pagos web,1
ing bank n.v.,impuesto predial,n,2,pagos web,1
ing bank n.v.,impuesto predial,p,4,pagos web,1
ing bank n.v.,servicios,n,2,pagos web,1
inteligencia en finanzas sapi,servicios,n,1,pagos web,1
interbank - banco internaciona,impuesto predial,p,0,pagos web,1
intesa sanpaolo s.p.a.,impuesto predial,n,6,pagos web,1
intesa sanpaolo spa,impuesto predial,p,0,pagos web,1
inversora pichincha,alumbrado publico,p,2,pagos web,1
gnb,impuesto predial,presencial,5,pagos presencial,1
gnb,delineación urbana,presencial,3,pagos presencial,1
gnb,delineación urbana,presencial,1,pagos presencial,1
falabella,facilidades,a,3,pagos web,1
"europay norge, a.s.",impuesto predial,p,3,pagos web,1
"europay norge, a.s.",impuesto predial,p,4,pagos web,1
evolve bank & trust,impuesto predial,p,0,pagos web,1
evolve bank & trust,impuesto predial,p,2,pagos web,1
evolve bank & trust,impuesto predial,p,3,pagos web,1
evolve bank & trust,industria y comercio,p,1,pagos web,1
fairstone bank of canada,impuesto predial,p,0,pagos web,1
fairstone bank of canada,impuesto predial,p,4,pagos web,1
falabella,alumbrado publico,p,1,pagos web,1
falabella,alumbrado publico,p,4,pagos web,1
falabella,delineación urbana,p,1,pagos web,1
falabella,delineación urbana,p,4,pagos web,1
falabella,industria y comercio,a,1,pagos web,1
"europay norge, a.s.",impuesto predial,n,2,pagos web,1
falabella,industria y comercio,a,4,pagos web,1
falabella,industria y comercio,a,6,pagos web,1
falabella,otros ingresos,p,4,pagos web,1
falabella,retencion ica,p,4,pagos web,1
federation des caisses desjard,impuesto predial,a,0,pagos web,1
federation des caisses desjard,impuesto predial,a,1,pagos web,1
federation des caisses desjard,impuesto predial,p,0,pagos web,1
fia card services n.a.,impuesto predial,p,0,pagos web,1
fia card services n.a.,impuesto predial,p,1,pagos web,1
fia card services n.a.,impuesto predial,p,2,pagos web,1
fia card services national ass,impuesto predial,p,3,pagos web,1
"fia card services, n.a.",impuesto predial,n,0,pagos web,1
"europay norge, a.s.",impuesto predial,p,2,pagos web,1
"europay norge, a.s.",impuesto predial,a,4,pagos web,1
gnb,alumbrado publico,presencial,0,pagos presencial,1
dz bank ag,facilidades,p,0,pagos web,1
digital f.c.u.,impuesto predial,n,1,pagos web,1
digital f.c.u.,impuesto predial,p,3,pagos web,1
digital f.c.u.,impuesto predial,w,0,pagos web,1
diners club,impuesto predial,n,4,pagos web,1
diners club,impuesto predial,p,0,pagos web,1
diners club,impuesto predial,p,2,pagos web,1
distribuidora liverpool s.a. d,facilidades,p,5,pagos web,1
dkb das kann bank,impuesto predial,p,0,pagos web,1
dkb das kann bank,impuesto predial,p,6,pagos web,1
dnb bank asa,impuesto predial,n,0,pagos web,1
duo bank of canada,impuesto predial,p,2,pagos web,1
duo bank of canada,impuesto predial,p,4,pagos web,1
dz bank ag,facilidades,p,1,pagos web,1
"europay norge, a.s.",impuesto predial,a,0,pagos web,1
dz bank ag,facilidades,p,3,pagos web,1
dz bank ag,facilidades,p,4,pagos web,1
dz bank ag,facilidades,p,6,pagos web,1
dz bank ag,impuesto predial,p,0,pagos web,1
dz bank ag,impuesto predial,p,2,pagos web,1
eaglebank,alumbrado publico,p,4,pagos web,1
eaglebank,industria y comercio,p,4,pagos web,1
econstar sa,impuesto predial,p,3,pagos web,1
emirates nbd,impuesto predial,p,0,pagos web,1
europay belgium s.c.r.l.,impuesto predial,n,3,pagos web,1
"europay norge, a.s.",facilidades,p,0,pagos web,1
"europay norge, a.s.",facilidades,p,2,pagos web,1
"fia card services, n.a.",impuesto predial,p,4,pagos web,1
financiera comultrasan,impuesto predial,p,2,pagos web,1
financiera comultrasan,impuesto predial,p,4,pagos web,1
firstbank,industria y comercio,p,1,pagos web,1
finandina,industria y comercio,n,3,pagos web,1
finandina,movilidad,p,0,pagos web,1
first abu dhabi bank pjsc,industria y comercio,p,4,pagos web,1
first bank and trust,industria y comercio,p,2,pagos web,1
first community credit union o,impuesto predial,a,1,pagos web,1
"first gulf bank, n.a.",impuesto predial,p,2,pagos web,1
first national bank in sioux f,impuesto predial,p,6,pagos web,1
first national bank of omaha,impuesto predial,p,1,pagos web,1
first national bank of omaha,impuesto predial,p,5,pagos web,1
first technology federal credi,impuesto predial,p,2,pagos web,1
firstbank,impuesto predial,p,1,pagos web,1
firstbank,impuesto predial,p,3,pagos web,1
firstcaribbean international b,impuesto predial,p,1,pagos web,1
financiera coomeva,alumbrado publico,p,2,pagos web,1
firstcaribbean international b,impuesto predial,p,4,pagos web,1
firstcaribbean international b,impuesto predial,p,5,pagos web,1
frontier bank,impuesto predial,p,0,pagos web,1
frontier bank,impuesto predial,p,3,pagos web,1
frost national bank,impuesto predial,p,2,pagos web,1
ge capital finance australia,impuesto predial,p,3,pagos web,1
ge capital retail bank,impuesto predial,p,1,pagos web,1
"gio building society, ltd.",impuesto predial,n,2,pagos web,1
"gio building society, ltd.",impuesto predial,p,6,pagos web,1
giros y finanzas compañia de f,impuesto predial,p,0,pagos web,1
global bank corporation,impuesto predial,n,0,pagos web,1
global bank corporation,impuesto predial,p,1,pagos web,1
finandina,industria y comercio,a,3,pagos web,1
finandina,industria y comercio,a,1,pagos web,1
finandina,facilidades,n,6,pagos web,1
finandina,facilidades,n,4,pagos web,1
financiera coomeva,facilidades,p,6,pagos web,1
financiera coomeva,impuesto predial,a,0,pagos web,1
financiera coomeva,impuesto predial,a,4,pagos web,1
financiera coomeva,impuesto predial,n,1,pagos web,1
financiera coomeva,impuesto predial,n,5,pagos web,1
financiera coomeva,industria y comercio,n,0,pagos web,1
financiera coomeva,industria y comercio,n,2,pagos web,1
financiera coomeva,industria y comercio,n,3,pagos web,1
financiera coomeva,industria y comercio,n,5,pagos web,1
financiera coomeva,industria y comercio,n,6,pagos web,1
financiera el corte ingles efc,impuesto predial,p,4,pagos web,1
financiera juriscoop,facilidades,p,0,pagos web,1
financiera juriscoop,facilidades,p,3,pagos web,1
financiera juriscoop,facilidades,p,4,pagos web,1
financiera juriscoop,impuesto predial,a,3,pagos web,1
financiera juriscoop,impuesto predial,a,4,pagos web,1
financiera juriscoop,impuesto predial,n,0,pagos web,1
financiera juriscoop,impuesto predial,n,5,pagos web,1
financiera juriscoop,impuesto predial,p,6,pagos web,1
finandina,alumbrado publico,p,6,pagos web,1
finandina,circulacion y transito,a,1,pagos web,1
finandina,circulacion y transito,n,1,pagos web,1
finandina,circulacion y transito,p,2,pagos web,1
finandina,facilidades,a,4,pagos web,1
finandina,facilidades,n,3,pagos web,1
commonwealth bank of australia,impuesto predial,p,1,pagos web,1
commonwealth bank of australia,impuesto predial,n,4,pagos web,1
commerzbank ag,impuesto predial,p,5,pagos web,1
barclays bank delaware,facilidades,p,0,pagos web,1
bank of nova scotia,impuesto predial,n,3,pagos web,1
bank of nova scotia,impuesto predial,n,4,pagos web,1
bank of scotland,impuesto predial,p,2,pagos web,1
bank of scotland plc,impuesto predial,p,3,pagos web,1
bank of the west,impuesto predial,p,3,pagos web,1
bank of wyoming,impuesto predial,p,3,pagos web,1
bank of wyoming,industria y comercio,p,4,pagos web,1
bankia,servicios,n,1,pagos web,1
"bankinter, s.a.",impuesto predial,p,1,pagos web,1
"bankinter, s.a.",impuesto predial,p,3,pagos web,1
banque laurentienne du canada,industria y comercio,n,3,pagos web,1
barclays bank delaware,delineación urbana,p,3,pagos web,1
barclays bank delaware,facilidades,p,2,pagos web,1
bank of montreal,impuesto predial,p,3,pagos web,1
barclays bank delaware,impuesto predial,n,0,pagos web,1
barclays bank delaware,impuesto predial,n,1,pagos web,1
barclays bank delaware,impuesto predial,n,5,pagos web,1
barclays bank delaware,impuesto predial,n,6,pagos web,1
barclays bank delaware,industria y comercio,p,6,pagos web,1
"barclays bank mocambique, s.a.",impuesto predial,p,1,pagos web,1
barwa bank,impuesto predial,n,0,pagos web,1
baxter c.u.,impuesto predial,p,3,pagos web,1
"bay first bank, n.a.",impuesto predial,p,0,pagos web,1
"bay first bank, n.a.",impuesto predial,p,3,pagos web,1
bayerische landesbank,impuesto predial,p,1,pagos web,1
bayerische landesbank,impuesto predial,p,5,pagos web,1
bank of nova scotia,facilidades,n,3,pagos web,1
bank of montreal,impuesto predial,p,2,pagos web,1
bb and t financial f.s.b.,impuesto predial,p,0,pagos web,1
"bank of america, national asso",industria y comercio,p,1,pagos web,1
"bank of america, n.a.",industria y comercio,p,2,pagos web,1
"bank of america, national asso",facilidades,p,0,pagos web,1
"bank of america, national asso",facilidades,p,3,pagos web,1
"bank of america, national asso",impuesto predial,a,1,pagos web,1
"bank of america, national asso",impuesto predial,n,1,pagos web,1
"bank of america, national asso",impuesto predial,n,4,pagos web,1
"bank of america, national asso",impuesto predial,n,5,pagos web,1
"bank of america, national asso",industria y comercio,n,0,pagos web,1
"bank of america, national asso",industria y comercio,n,1,pagos web,1
"bank of america, national asso",industria y comercio,n,5,pagos web,1
"bank of america, national asso",industria y comercio,n,6,pagos web,1
"bank of america, national asso",industria y comercio,p,0,pagos web,1
"bank of america, national asso",industria y comercio,p,5,pagos web,1
"bank of missouri, the",impuesto predial,p,2,pagos web,1
