Banco,Contrato,Origen,Tipo archivo recaudo,Cuenta
occidente,delineación urbana,presencial,pagos presencial,195
banco de occidente,impuesto predial,a,pagos web,194
"banco davivienda, s.a.",industria y comercio,p,pagos web,192
"banco de occidente, s.a.",impuesto predial,n,pagos web,184
banco itau,industria y comercio,n,pagos web,184
bancolombia - botón bancolombi,ingresos no tributarios,p,pagos web,184
nu pagamentos sa,industria y comercio,p,pagos web,184
banco popular,facilidades,p,pagos web,183
davivienda,aprov.esp.pub,presencial,pagos presencial,183
daviplata,industria y comercio,p,pagos web,183
davivienda,otros ingresos,presencial,pagos presencial,181
banco colpatria pricesmart,industria y comercio,p,pagos web,178
itau corpbanca colombia s.a.,industria y comercio,p,pagos web,176
banco popular s.a.,impuesto predial,p,pagos web,175
banco popular,recursos fonset,p,pagos web,175
banco de bogota s.a.,industria y comercio,p,pagos web,175
confiar,préstamos hipotecarios,presencial,pagos presencial,173
occidente,impuesto telefonico,presencial,pagos presencial,172
banco bbva colombia s.a.,alumbrado publico,p,pagos web,171
banco davivienda,recursos fonset,p,pagos web,171
scotiabank colpatria,retencion ica,p,pagos web,171
banco bbva colombia s.a.,publicidad exterior visual,p,pagos web,170
banco davivienda,transferencias,p,pagos web,168
avvillas,alumbrado publico,presencial,pagos presencial,167
banco de occidente,rentas contractuales,p,pagos web,165
bancolombia,rentas contractuales,a,pagos web,162
scotiabank colpatria,recursos fonset,p,pagos web,159
banco de bogota,alumbrado publico,p,pagos web,157
"itau corpbanca colombia, s.a.",impuesto predial,n,pagos web,155
banco de bogota,otros ingresos,p,pagos web,154
avvillas,préstamos hipotecarios,presencial,pagos presencial,154
scotiabank colpatria s.a.,facilidades,p,pagos web,154
banco de occidente,movilidad,p,pagos web,151
davivienda,impuesto telefonico,presencial,pagos presencial,149
banco de occidente,retencion ica,n,pagos web,148
bancolombia - botón bancolombi,aprov.esp.pub,p,pagos web,147
bogota_1,aprov.esp.pub,presencial,pagos presencial,146
banco itau,facilidades,p,pagos web,144
nequi,circulacion y transito,p,pagos web,142
"banco davivienda, s.a.",facilidades,p,pagos web,141
bbva,servicios,presencial,pagos presencial,141
bancolombia,industria y comercio,w,pagos web,141
banco popular,impuesto predial,a,pagos web,140
bbva,publicidad exterior visual,presencial,pagos presencial,139
banco de bogota,facilidades,n,pagos web,137
banco davivienda s.a.,industria y comercio,p,pagos web,137
banco av villas,industria y comercio,n,pagos web,134
scotiabank colpatria,alumbrado publico,p,pagos web,133
banco av villas s.a.,industria y comercio,p,pagos web,132
itaú,impuesto predial,n,pagos web,132
banco de bogota,circulacion y transito,p,pagos web,132
bcsc,industria y comercio,p,pagos web,132
hsbc,impuesto predial,p,pagos web,131
banco davivienda,facilidades,a,pagos web,131
banco cooperativo coopcentral,facilidades,p,pagos web,131
confiar cooperativa financiera,impuesto predial,n,pagos web,130
"banco de occidente, s.a.",facilidades,p,pagos web,129
banco bbva colombia s.a.,circulacion y transito,p,pagos web,129
itaú,impuesto predial,a,pagos web,127
banco gnb sudameris,retencion ica,p,pagos web,126
bbva colombia s.a,impuesto predial,a,pagos web,125
popular,ingresos no tributarios,presencial,pagos presencial,124
banco de bogota,movilidad,p,pagos web,122
bbva,ingresos no tributarios,presencial,pagos presencial,122
coltefinanciera,impuesto predial,p,pagos web,122
"itau corpbanca colombia, s.a.",industria y comercio,p,pagos web,121
bancolombia - botón bancolombi,movilidad,p,pagos web,121
bancolombia cayman,impuesto predial,p,pagos web,120
visa - visa,impuesto predial,p,pagos web,119
banco falabella,industria y comercio,n,pagos web,119
"capital one bank (usa), n.a.",impuesto predial,p,pagos web,119
bancolombia s.a.,retencion ica,p,pagos web,119
bancolombia - botón bancolombi,alumbrado publico,n,pagos web,118
banco de occidente,alumbrado publico,p,pagos web,118
banco de occidente,transferencias,p,pagos web,117
banco pichincha s.a.,industria y comercio,p,pagos web,117
cotrafa,impuesto predial,presencial,pagos presencial,116
banco caja social,circulacion y transito,p,pagos web,116
nequi,servicios,n,pagos web,116
banco de occidente,recursos fonset,p,pagos web,115
itaú,facilidades,p,pagos web,113
confiar,pot.,presencial,pagos presencial,112
banco av villas,recursos fonset,p,pagos web,111
bancolombia,alumbrado publico,a,pagos web,111
banco bbva colombia s.a.,rendimientos financieros y recursos no ejecutados,n,pagos web,111
"banco davivienda, s.a.",impuesto predial,a,pagos web,111
banco av villas s.a.,impuesto predial,n,pagos web,110
"rappipay, s.a.s.",facilidades,p,pagos web,110
banco falabella,facilidades,n,pagos web,110
banco itau,impuesto predial,a,pagos web,109
"capital one, national associat",impuesto predial,p,pagos web,109
banco davivienda,aprov.esp.pub,n,pagos web,109
bbva colombia s.a,facilidades,p,pagos web,107
bancolombia,espectaculos publicos,p,pagos web,107
bogota_1,rendimientos financieros y recursos no ejecutados,presencial,pagos presencial,106
bancocajasocial,alumbrado publico,presencial,pagos presencial,105
bancolombia - botón bancolombi,delineación urbana,p,pagos web,103
banco serfinanza s.a,impuesto predial,p,pagos web,103
american express company,impuesto predial,p,pagos web,103
banco davivienda,retencion ica,n,pagos web,103
bancolombia s.a.,impuesto predial,w,pagos web,102
confiar cooperativa financiera,facilidades,p,pagos web,101
banco colpatria pricesmart,impuesto predial,n,pagos web,101
daviplata,impuesto predial,a,pagos web,101
bancocajasocial,servicios,presencial,pagos presencial,100
bancolombia s.a.,rentas contractuales,p,pagos web,99
bancolombia,ingresos no tributarios,n,pagos web,99
daviplata,facilidades,p,pagos web,99
caja social bcs,impuesto predial,p,pagos web,98
daviplata,impuesto predial,n,pagos web,98
banco davivienda,aprov.esp.pub,p,pagos web,98
banco de bogota s.a.,impuesto predial,n,pagos web,98
bancoomeva,impuesto predial,p,pagos web,98
bancolombia s.a.,ingresos no tributarios,p,pagos web,98
american express us consumer,impuesto predial,p,pagos web,96
avvillas,delineación urbana,presencial,pagos presencial,95
finandina,industria y comercio,p,pagos web,95
gnb,circulacion y transito,presencial,pagos presencial,93
chase bank usa n.a.,impuesto predial,p,pagos web,93
bancamia s.a.,impuesto predial,p,pagos web,92
banco de bogota,ingresos no tributarios,p,pagos web,92
bbva colombia s.a,industria y comercio,p,pagos web,91
"banco de occidente, s.a.",industria y comercio,p,pagos web,91
banco de occidente,circulacion y transito,p,pagos web,90
popular,alumbrado publico,presencial,pagos presencial,90
cotrafa,servicios,presencial,pagos presencial,90
banco colpatria pricesmart,impuesto predial,a,pagos web,90
banco popular,transferencias,p,pagos web,89
banco de bogota,transferencias,p,pagos web,89
bancolombia s.a.- nequi,impuesto predial,n,pagos web,88
cotrafa,aprov.esp.pub,presencial,pagos presencial,88
davivienda,retencion ica,presencial,pagos presencial,87
bancolombia - botón bancolombi,industria y comercio,w,pagos web,84
bancolombia s.a.- nequi,industria y comercio,p,pagos web,84
banco de bogotá s.a.,industria y comercio,p,pagos web,84
banco de occidente s.a.,industria y comercio,p,pagos web,83
bancolombia - botón bancolombi,circulacion y transito,a,pagos web,82
bancolombia s.a.- nequi,impuesto predial,a,pagos web,82
bbva,rentas contractuales,presencial,pagos presencial,82
gnb sudameris,facilidades,p,pagos web,82
"chase bank usa, n.a.",impuesto predial,n,pagos web,82
confiar,ingresos no tributarios,presencial,pagos presencial,81
bancolombia - botón bancolombi,rentas contractuales,a,pagos web,81
bancolombia,deguello de ganado,p,pagos web,81
banco itau,rendimientos financieros y recursos no ejecutados,n,pagos web,81
visa,impuesto predial,p,pagos web,80
bcsc,impuesto predial,n,pagos web,80
banco de bogota,industria y comercio,a,pagos web,79
banco av villas s.a.,facilidades,p,pagos web,79
banco davivienda,impuesto telefonico,p,pagos web,79
"banco de occidente, s.a.",impuesto predial,a,pagos web,79
citibank,industria y comercio,n,pagos web,79
banco bbva colombia s.a.,facilidades,n,pagos web,78
coop. financ. confiar,impuesto predial,p,pagos web,78
banco bbva colombia s.a.,retencion ica,n,pagos web,78
banco santander,industria y comercio,p,pagos web,78
falabella,impuesto predial,a,pagos web,77
bancolombia,delineación urbana,n,pagos web,77
bancolombia - botón bancolombi,publicidad exterior visual,p,pagos web,76
cotrafa,ingresos no tributarios,presencial,pagos presencial,76
banco davivienda,alumbrado publico,n,pagos web,76
banco davivienda,ingresos no tributarios,p,pagos web,76
asociacion gremial de instituc,impuesto predial,p,pagos web,76
citibank,industria y comercio,a,pagos web,76
colpatria,impuesto predial,p,pagos web,75
banco de bogota s.a.,impuesto predial,a,pagos web,75
scotiabank colpatria,facilidades,n,pagos web,75
banco de bogota,retencion ica,n,pagos web,75
"wells fargo bank, n.a.",impuesto predial,p,pagos web,74
banco colpatria pricesmart,facilidades,p,pagos web,74
scotiabank colpatria s.a.,industria y comercio,n,pagos web,74
gnb,rentas contractuales,presencial,pagos presencial,73
banco bilbao vizcaya argentari,impuesto predial,a,pagos web,73
banco caja social,alumbrado publico,p,pagos web,72
nequi,alumbrado publico,p,pagos web,71
"bank of america, national asso",impuesto predial,p,pagos web,71
barclays bank delaware,impuesto predial,p,pagos web,71
bancocajasocial,delineación urbana,presencial,pagos presencial,71
nequi,rentas contractuales,n,pagos web,70
bancolombia,impuesto telefonico,n,pagos web,70
banco popular,alumbrado publico,p,pagos web,70
banco davivienda,impuesto predial,w,pagos web,70
cotrafa,préstamos hipotecarios,presencial,pagos presencial,70
nequi,impuesto predial,w,pagos web,69
banco occidente,industria y comercio,p,pagos web,69
"itau corpbanca colombia, s.a.",impuesto predial,a,pagos web,69
nequi,facilidades,a,pagos web,68
bancolombia - botón bancolombi,retencion ica,p,pagos web,67
scotiabank colpatria,industria y comercio,a,pagos web,67
avvillas,ingresos no tributarios,presencial,pagos presencial,67
banco gnb sudameris,impuesto predial,n,pagos web,67
banco bbva colombia s.a.,industria y comercio,a,pagos web,66
banco bbva colombia s.a.,estampilla procultura,p,pagos web,66
banco davivienda,movilidad,p,pagos web,66
confiar cooperativa financiera,impuesto predial,a,pagos web,65
banco bogota,industria y comercio,p,pagos web,65
bancoomeva s.a.,impuesto predial,a,pagos web,65
banco de bogotá s.a.,impuesto predial,n,pagos web,65
compania de financiamiento tuy,facilidades,n,pagos web,64
colpatria,ingresos no tributarios,presencial,pagos presencial,64
banco av villas s.a.,impuesto predial,a,pagos web,64
banco pichincha s.a.,impuesto predial,p,pagos web,64
occidente,aprov.esp.pub,presencial,pagos presencial,64
colpatria,préstamos hipotecarios,presencial,pagos presencial,64
scotiabank colpatria,publicidad exterior visual,p,pagos web,64
cotrafa,delineación urbana,presencial,pagos presencial,64
bancolombia s.a.,servicios,n,pagos web,63
confiar,retencion ica,presencial,pagos presencial,63
banco av villas,publicidad exterior visual,p,pagos web,63
nu pagamentos sa,industria y comercio,n,pagos web,63
scotiabank colpatria,circulacion y transito,p,pagos web,62
banco itau,alumbrado publico,p,pagos web,62
"itau corpbanca colombia, s.a.",facilidades,p,pagos web,62
redeban multicolor s.a.,industria y comercio,p,pagos web,62
"rappipay, s.a.s.",industria y comercio,n,pagos web,62
"jpmorgan chase bank, n.a.",impuesto predial,p,pagos web,61
banco davivienda,rentas contractuales,n,pagos web,61
finandina,impuesto predial,a,pagos web,60
bancolombia s.a.- nequi,facilidades,p,pagos web,60
banco bilbao vizcaya argentari,impuesto predial,n,pagos web,60
popular,delineación urbana,presencial,pagos presencial,59
bbva,delineación urbana,presencial,pagos presencial,59
rappipay,impuesto predial,p,pagos web,59
occidente,movilidad,presencial,pagos presencial,59
banco falabella,circulacion y transito,p,pagos web,59
bancolombia,espectaculos publicos,presencial,pagos presencial,58
nequi,rentas contractuales,p,pagos web,57
bancolombia s.a.,circulacion y transito,n,pagos web,57
cotrafa,industria y comercio,p,pagos web,56
banco bbva colombia s.a.,otros ingresos,p,pagos web,55
bancolombia s.a.,aprov.esp.pub,n,pagos web,55
banco de occidente,espectaculos publicos,p,pagos web,54
bancolombia s.a.,facilidades,a,pagos web,53
bancolombia s.a.,impuesto telefonico,p,pagos web,53
bbva,impuesto telefonico,presencial,pagos presencial,53
popular,otros ingresos,presencial,pagos presencial,53
bancolombia s.a.,publicidad exterior visual,p,pagos web,52
banco falabella,industria y comercio,a,pagos web,52
banco colpatria,circulacion y transito,p,pagos web,52
bancolombia,transferencias,n,pagos web,51
cotrafa,rendimientos financieros y recursos no ejecutados,presencial,pagos presencial,51
banco coomeva s.a.,impuesto predial,n,pagos web,51
banco de occidente,facilidades,n,pagos web,51
bancoomeva s.a.,impuesto predial,n,pagos web,50
bancocajasocial,otros ingresos,presencial,pagos presencial,49
popular,rendimientos financieros y recursos no ejecutados,presencial,pagos presencial,49
banco colpatria,industria y comercio,n,pagos web,48
banco davivienda,delineación urbana,p,pagos web,48
banco colpatria,facilidades,n,pagos web,48
nequi,circulacion y transito,n,pagos web,48
bancolombia - botón bancolombi,rendimientos financieros y recursos no ejecutados,p,pagos web,47
banco av villas,circulacion y transito,p,pagos web,47
citibank,circulacion y transito,p,pagos web,47
bank of america,impuesto predial,n,pagos web,47
cotrafa,movilidad,presencial,pagos presencial,46
compania de financiamiento tuy,industria y comercio,n,pagos web,46
banco de bogotá s.a.,impuesto predial,a,pagos web,46
banco bbva colombia s.a.,ingresos no tributarios,p,pagos web,46
banco davivienda,circulacion y transito,n,pagos web,46
bcsc,impuesto predial,a,pagos web,45
nu pagamentos sa,facilidades,n,pagos web,45
av villas,facilidades,p,pagos web,45
financiera juriscoop,impuesto predial,p,pagos web,45
banco popular,estampilla procultura,p,pagos web,45
coofinep,alumbrado publico,presencial,pagos presencial,45
banco colpatria,industria y comercio,a,pagos web,44
banco gnb sudameris,facilidades,p,pagos web,44
gnb sudameris,industria y comercio,p,pagos web,44
confiar,aprov.esp.pub,presencial,pagos presencial,44
bancolombia - botón bancolombi,servicios,p,pagos web,44
banco caja social,facilidades,n,pagos web,44
banco de bogota,aprov.esp.pub,n,pagos web,43
banco agrario,publicidad exterior visual,p,pagos web,43
lulo bank,impuesto predial,p,pagos web,43
banco caja social,rentas contractuales,p,pagos web,43
banco de occidente,rentas contractuales,n,pagos web,43
citibank n.a.,impuesto predial,n,pagos web,42
banco de bogota s.a.,facilidades,p,pagos web,42
movii sa,impuesto predial,p,pagos web,42
gnb,otros ingresos,presencial,pagos presencial,42
coofinep,circulacion y transito,presencial,pagos presencial,42
colpatria,rentas contractuales,presencial,pagos presencial,42
bogota_1,otros ingresos,presencial,pagos presencial,42
banco bogota,facilidades,p,pagos web,42
bancolombia - botón bancolombi,alumbrado publico,a,pagos web,41
davivienda,multas codigo de policia,presencial,pagos presencial,41
banco de bogota,alumbrado publico,n,pagos web,41
popular,rentas contractuales,presencial,pagos presencial,41
finandina,impuesto predial,n,pagos web,41
banco av villas,otros ingresos,p,pagos web,41
av villas,industria y comercio,p,pagos web,41
coltefinanciera,industria y comercio,p,pagos web,40
banco bilbao vizcaya argentari,industria y comercio,p,pagos web,40
scotiabank colpatria s.a.,circulacion y transito,p,pagos web,40
gnb,retencion ica,presencial,pagos presencial,40
banco gnb sudameris,industria y comercio,n,pagos web,40
bogota_1,pot.,presencial,pagos presencial,39
confiar,delineación urbana,presencial,pagos presencial,39
banco popular,retencion ica,n,pagos web,39
finandina,facilidades,p,pagos web,39
banco agrario,retencion ica,p,pagos web,38
scotiabank colpatria,facilidades,a,pagos web,38
coopcentral,impuesto predial,p,pagos web,38
scotiabank colpatria,rentas contractuales,p,pagos web,38
banco davivienda,servicios,n,pagos web,38
banco av villas,alumbrado publico,p,pagos web,37
cfa,circulacion y transito,presencial,pagos presencial,37
banco popular,rendimientos financieros y recursos no ejecutados,n,pagos web,37
"banco davivienda, s.a.",industria y comercio,n,pagos web,37
banco caja social,recursos fonset,n,pagos web,36
bancoomeva s.a.,facilidades,p,pagos web,36
banco gnb sudameris,impuesto predial,a,pagos web,36
nequi,impuesto telefonico,p,pagos web,36
cfa,préstamos hipotecarios,presencial,pagos presencial,36
banco santander,circulacion y transito,p,pagos web,36
bogota_1,impuesto telefonico,presencial,pagos presencial,36
"bank of america, n.a.",impuesto predial,p,pagos web,36
banco bilbao vizcaya argentari,facilidades,p,pagos web,36
banco itau,publicidad exterior visual,p,pagos web,36
banco santander colombia,industria y comercio,p,pagos web,36
occidente,transferencias,presencial,pagos presencial,35
scotiabank colpatria s.a.,facilidades,n,pagos web,35
master - master,impuesto predial,p,pagos web,35
scotiabank colpatria,otros ingresos,p,pagos web,35
movii s.a.,impuesto predial,p,pagos web,35
servibanca s.a.,impuesto predial,p,pagos web,35
banco bbva colombia s.a.,aprov.esp.pub,p,pagos web,35
payoneer europe limited,impuesto predial,p,pagos web,34
bcsc,facilidades,p,pagos web,33
banco de bogotá s.a.,industria y comercio,n,pagos web,33
inversora pichincha,impuesto predial,p,pagos web,33
banco itau,circulacion y transito,p,pagos web,33
banco davivienda s.a.,impuesto predial,a,pagos web,33
american express us,impuesto predial,p,pagos web,33
bbva,recursos fonset,presencial,pagos presencial,33
banco itau,ingresos no tributarios,p,pagos web,33
banco falabella,ingresos no tributarios,p,pagos web,32
sempli s.a.s.,industria y comercio,p,pagos web,32
cfa,alumbrado publico,presencial,pagos presencial,32
bancolombia s.a.,alumbrado publico,n,pagos web,32
financiera coomeva,industria y comercio,p,pagos web,32
occidente,recursos fonset,presencial,pagos presencial,32
banco de bogota,rentas contractuales,p,pagos web,32
banco de bogota,facilidades,a,pagos web,32
banco bbva colombia s.a.,facilidades,a,pagos web,31
"banco davivienda, s.a.",facilidades,n,pagos web,31
cfa cooperativa financiera,facilidades,p,pagos web,31
gnb,préstamos hipotecarios,presencial,pagos presencial,31
scotiabank colpatria,ingresos no tributarios,p,pagos web,30
banco de occidente,delineación urbana,p,pagos web,30
pse - cuentas débito ahorro y,industria y comercio,p,pagos web,30
bbva,multas codigo de policia,presencial,pagos presencial,30
banco popular,industria y comercio,n,pagos web,30
bancolombia - botón bancolombi,ingresos no tributarios,n,pagos web,30
banco bbva colombia s.a.,rentas contractuales,p,pagos web,30
colpatria,otros ingresos,presencial,pagos presencial,30
bancolombia,recursos fonset,n,pagos web,29
capital one bank (usa) n.a.,impuesto predial,p,pagos web,29
gnb,alumbrado publico,presencial,pagos presencial,29
itaú,circulacion y transito,p,pagos web,29
bbva,rendimientos financieros y recursos no ejecutados,presencial,pagos presencial,29
banco cooperativo coopcentral,facilidades,n,pagos web,29
bancoomeva s.a.,industria y comercio,n,pagos web,29
banco de occidente,estampilla procultura,p,pagos web,28
banco bbva colombia s.a.,impuesto telefonico,p,pagos web,28
banco av villas,facilidades,n,pagos web,28
credibanco,impuesto predial,p,pagos web,27
bancolombia - botón bancolombi,impuesto telefonico,n,pagos web,27
davivienda,espectaculos publicos,presencial,pagos presencial,27
nequi,aprov.esp.pub,n,pagos web,27
cotrafa,impuesto telefonico,presencial,pagos presencial,27
bancolombia - botón bancolombi,rendimientos financieros y recursos no ejecutados,n,pagos web,27
cotrafa,impuesto predial,n,pagos web,27
banco popular,otros ingresos,p,pagos web,26
bbva colombia s.a,facilidades,n,pagos web,26
banco agrario,facilidades,p,pagos web,26
visa - visa,impuesto predial,n,pagos web,26
banco bbva colombia,impuesto predial,p,pagos web,26
ripley visa,industria y comercio,p,pagos web,26
"banco de guayaquil, s.a.",impuesto predial,p,pagos web,26
banco caja social s.a.,impuesto predial,n,pagos web,26
itaú,industria y comercio,n,pagos web,25
bancolombia s.a.,circulacion y transito,a,pagos web,25
citibank na,impuesto predial,p,pagos web,25
banco bbva colombia s.a.,recursos fonset,n,pagos web,25
banco popular,circulacion y transito,p,pagos web,25
scotiabank colpatria s.a.,impuesto predial,w,pagos web,25
nium pte. ltd.,impuesto predial,p,pagos web,25
pse - cuentas débito ahorro y,circulacion y transito,p,pagos web,25
ripley visa,facilidades,p,pagos web,25
redeban multicolor s.a.,impuesto predial,a,pagos web,25
banco santander colombia,retencion ica,p,pagos web,25
gnb,publicidad exterior visual,presencial,pagos presencial,25
bancocajasocial,movilidad,presencial,pagos presencial,25
bancolombia s.a.,delineación urbana,p,pagos web,25
banco de occidente,publicidad exterior visual,n,pagos web,25
bancolombia s.a.,rentas contractuales,n,pagos web,25
cfa cooperativa financiera,impuesto predial,n,pagos web,24
bancolombia s.a.,industria y comercio,w,pagos web,24
bank of nova scotia,impuesto predial,p,pagos web,24
confiar,movilidad,presencial,pagos presencial,24
bancoomeva s.a.,retencion ica,p,pagos web,24
banco de bogota,circulacion y transito,a,pagos web,24
scotiabank colpatria,rendimientos financieros y recursos no ejecutados,n,pagos web,24
banco agrario,impuesto predial,n,pagos web,24
banco occidente,facilidades,p,pagos web,23
banco agrario,impuesto predial,a,pagos web,23
banco de bogota s.a.,industria y comercio,n,pagos web,23
banco davivienda,publicidad exterior visual,n,pagos web,23
colpatria,industria y comercio,p,pagos web,23
colpatria,servicios,presencial,pagos presencial,23
banco caja social,facilidades,a,pagos web,23
banco santander,impuesto predial,n,pagos web,23
daviplata,industria y comercio,a,pagos web,23
bancocajasocial,pot.,presencial,pagos presencial,23
compania de financiamiento tuy,circulacion y transito,p,pagos web,23
banco de occidente,ingresos no tributarios,p,pagos web,23
"capital one bank (usa), nation",impuesto predial,p,pagos web,23
bbva,transferencias,presencial,pagos presencial,23
bancolombia s.a.,movilidad,p,pagos web,23
bancolombia,otros ingresos,n,pagos web,22
scotiabank colpatria,aprov.esp.pub,n,pagos web,22
gnb,ingresos no tributarios,presencial,pagos presencial,22
banco caja social,otros ingresos,n,pagos web,22
financiera coomeva,impuesto predial,n,pagos web,22
cfa cooperativa financiera,industria y comercio,p,pagos web,22
confiar,otros ingresos,presencial,pagos presencial,22
"banco de occidente, s.a.",circulacion y transito,p,pagos web,22
scotiabank colpatria s.a.,alumbrado publico,p,pagos web,22
banco falabella,alumbrado publico,p,pagos web,21
bbva,retencion ica,p,pagos web,21
banco davivienda,circulacion y transito,a,pagos web,21
banco de bogota,espectaculos publicos,n,pagos web,21
"fia card services, n.a.",impuesto predial,p,pagos web,21
banco caja social,impuesto telefonico,p,pagos web,21
banco de bogota,rendimientos financieros y recursos no ejecutados,n,pagos web,21
visa,industria y comercio,p,pagos web,21
"capital one, national associat",impuesto predial,n,pagos web,21
occidente,cuotas partes jubilatorias,presencial,pagos presencial,21
american express us consumer,impuesto predial,n,pagos web,21
banco itau,retencion ica,n,pagos web,21
sempli s.a.s.,impuesto predial,p,pagos web,21
avvillas,pot.,presencial,pagos presencial,20
banco de occidente,alumbrado publico,n,pagos web,20
lulo bank sa,impuesto predial,p,pagos web,20
banco colpatria pricesmart,industria y comercio,a,pagos web,20
banco de bogota,estampilla procultura,p,pagos web,20
bancolombia,estampilla procultura,n,pagos web,20
"rappipay, s.a.s.",facilidades,n,pagos web,20
banco de bogota,rentas contractuales,n,pagos web,20
financiera coomeva,facilidades,p,pagos web,20
"chase bank usa, n.a.",impuesto predial,a,pagos web,20
banco itau,facilidades,n,pagos web,20
bcsc,industria y comercio,n,pagos web,20
banco davivienda,otros ingresos,p,pagos web,20
compania de financiamiento tuy,industria y comercio,a,pagos web,19
colpatria,publicidad exterior visual,presencial,pagos presencial,19
nu pagamentos sa,facilidades,a,pagos web,19
synchrony bank,impuesto predial,p,pagos web,19
daviplata,industria y comercio,n,pagos web,19
goldman sachs bank usa,impuesto predial,p,pagos web,19
hsbc bank canada,impuesto predial,p,pagos web,19
bbva,pot.,presencial,pagos presencial,19
visa,facilidades,p,pagos web,19
banco de occidente,espectaculos publicos,n,pagos web,19
banco gnb sudameris,rendimientos financieros y recursos no ejecutados,n,pagos web,19
bbva colombia s.a,industria y comercio,n,pagos web,19
banco de bogota,impuesto telefonico,p,pagos web,19
banco de bogota,recursos fonset,n,pagos web,19
confiar cooperativa financiera,industria y comercio,n,pagos web,19
banco bbva colombia s.a.,transferencias,n,pagos web,19
commonwealth bank of australia,impuesto predial,p,pagos web,19
rappipay,industria y comercio,p,pagos web,18
banco av villas,retencion ica,n,pagos web,18
banco bbva colombia s.a.,delineación urbana,p,pagos web,18
bbva,aprov.esp.pub,presencial,pagos presencial,18
nequi,alumbrado publico,n,pagos web,18
banco santander,facilidades,p,pagos web,18
banco bbva colombia s.a.,movilidad,p,pagos web,18
banco de bogota,circulacion y transito,n,pagos web,18
avvillas,impuesto telefonico,presencial,pagos presencial,18
bancolombia - botón bancolombi,retencion ica,n,pagos web,18
"citibank, n.a.",impuesto predial,p,pagos web,18
nequi,circulacion y transito,a,pagos web,18
gnb sudameris s.a.,impuesto predial,p,pagos web,18
"wells fargo bank, n.a.",impuesto predial,n,pagos web,18
capital one bank (usa) nationa,impuesto predial,p,pagos web,18
coofinep cooperativa financier,impuesto predial,p,pagos web,18
"capital one bank (usa), n.a.",impuesto predial,n,pagos web,18
bancocajasocial,impuesto telefonico,presencial,pagos presencial,17
banco de occidente s.a.,impuesto predial,a,pagos web,17
banco agrario,industria y comercio,n,pagos web,17
banco davivienda,rendimientos financieros y recursos no ejecutados,n,pagos web,17
banco caja social,circulacion y transito,n,pagos web,17
"teller, a.s.",impuesto predial,p,pagos web,17
"bancorp bank, the",impuesto predial,n,pagos web,17
scotiabank colpatria,impuesto telefonico,p,pagos web,17
confiar cooperativa financiera,retencion ica,p,pagos web,17
bancolombia - botón bancolombi,publicidad exterior visual,n,pagos web,17
banco gnb sudameris,alumbrado publico,p,pagos web,17
bancolombia - botón bancolombi,delineación urbana,n,pagos web,17
bancolombia - botón bancolombi,movilidad,n,pagos web,17
coop. financ. confiar,facilidades,p,pagos web,17
barclays bank delaware,impuesto predial,n,pagos web,17
royal bank of canada,impuesto predial,p,pagos web,17
confiar cooperativa financiera,rentas contractuales,p,pagos web,17
banco popular s.a.,impuesto predial,n,pagos web,17
banco bbva colombia s.a.,circulacion y transito,n,pagos web,17
"td bank, n.a.",impuesto predial,p,pagos web,17
banco davivienda s.a.,facilidades,p,pagos web,17
daviplata,facilidades,n,pagos web,16
scotiabank colpatria s.a.,industria y comercio,a,pagos web,16
confiar cooperativa financiera,alumbrado publico,p,pagos web,16
av villas,impuesto predial,a,pagos web,16
cf tech colombia sas,industria y comercio,p,pagos web,16
financiera coomeva,impuesto predial,a,pagos web,16
asociacion gremial de instituc,industria y comercio,p,pagos web,16
nequi,alumbrado publico,a,pagos web,16
cotrafa,impuesto predial,a,pagos web,16
banco de bogota,aprov.esp.pub,p,pagos web,16
american express company,impuesto predial,n,pagos web,16
bancolombia,cuotas partes jubilatorias,presencial,pagos presencial,16
banco agrario,recursos fonset,p,pagos web,16
banco popular,industria y comercio,a,pagos web,16
pse - cuentas débito ahorro y,alumbrado publico,p,pagos web,16
"rappipay, s.a.s.",facilidades,a,pagos web,16
banco caja social,impuesto predial,w,pagos web,16
bbva,circulacion y transito,p,pagos web,16
coltefinanciera,publicidad exterior visual,p,pagos web,16
bbva,industria y comercio,a,pagos web,16
caja social bcs,facilidades,p,pagos web,16
serfinansa,impuesto predial,p,pagos web,16
banco av villas,industria y comercio,a,pagos web,15
iris,industria y comercio,p,pagos web,15
bancolombia,recursos fonset,presencial,pagos presencial,15
hsbc,impuesto predial,a,pagos web,15
banco popular,delineación urbana,p,pagos web,15
itau corpbanca colombia s.a.,impuesto predial,a,pagos web,15
"banco general, s.a.",impuesto predial,p,pagos web,15
davivienda,cuotas partes jubilatorias,presencial,pagos presencial,15
daviplata,circulacion y transito,p,pagos web,15
pse - cuentas débito ahorro y,circulacion y transito,n,pagos web,15
banco caja social,ingresos no tributarios,p,pagos web,15
banco serfinanza s.a,industria y comercio,p,pagos web,15
coltefinanciera,facilidades,n,pagos web,15
banco bbva colombia s.a.,estampilla procultura,n,pagos web,15
"itau corpbanca colombia, s.a.",industria y comercio,n,pagos web,15
banco de occidente s.a.,facilidades,p,pagos web,15
banco av villas,transferencias,p,pagos web,15
banco occidente,impuesto predial,a,pagos web,15
dale,impuesto predial,p,pagos web,15
finandina,industria y comercio,n,pagos web,15
