Banco,Contrato,Origen,Tipo archivo recaudo,Valor pago
itau corpbanca,servicios,n,pagos web,32135
"caixabank, s.a.",servicios,n,pagos web,32135
space coast c.u.,servicios,p,pagos web,32135
iris,impuesto predial,n,pagos web,32106
daviplata,impuesto predial,w,pagos web,31958
av villas,circulacion y transito,a,pagos web,29725
bbva,circulacion y transito,a,pagos web,29718
finandina,circulacion y transito,n,pagos web,29020
lulo bank,alumbrado publico,p,pagos web,27579
"rappipay, s.a.s.",impuesto predial,w,pagos web,27444
banco de bogota s.a.,circulacion y transito,n,pagos web,26640
banco itau,circulacion y transito,a,pagos web,26624
"banco davivienda, s.a.",retencion ica,n,pagos web,26000
finandina,circulacion y transito,a,pagos web,26000
bcsc,alumbrado publico,n,pagos web,25800
cat administradora de tarjetas,servicios,n,pagos web,25708
banco de bogotá s.a.,servicios,n,pagos web,25708
"rappipay, s.a.s.",servicios,n,pagos web,25708
banco gnb sudameris,servicios,n,pagos web,25708
open bank s.a,servicios,p,pagos web,25708
"banco general, s.a.",servicios,n,pagos web,25708
"banco davivienda, s.a.",impuesto telefonico,p,pagos web,25123
banco popular,delineación urbana,n,pagos web,24610
confiar cooperativa financiera,alumbrado publico,n,pagos web,24380
banco falabella,alumbrado publico,a,pagos web,21692
bancolombia - botón bancolombi,servicios,a,pagos web,20900
banco cooperativo coopcentral,impuesto telefonico,p,pagos web,19972
banco santander-chile,servicios,n,pagos web,19281
"caja de ahorros de galicia, vi",servicios,n,pagos web,19281
ing bank n.v.,servicios,n,pagos web,19281
"banco santander rio, s.a.",servicios,n,pagos web,19281
banco mercantil del norte s.a.,impuesto predial,n,pagos web,19233
banco davivienda s.a.,alumbrado publico,p,pagos web,19182
bbva colombia s.a,alumbrado publico,n,pagos web,19082
bogota_1,estampilla procultura,presencial,pagos presencial,19000
banco cooperativo coopcentral,impuesto telefonico,n,pagos web,18848
movii s.a.,industria y comercio,n,pagos web,18000
banco bbva colombia s.a.,impuesto telefonico,n,pagos web,17526
financiera coomeva,alumbrado publico,p,pagos web,16954
coltefinanciera,alumbrado publico,p,pagos web,16880
banco panama,impuesto predial,n,pagos web,15842
banco coomeva s.a.,alumbrado publico,n,pagos web,15157
"itau corpbanca colombia, s.a.",alumbrado publico,n,pagos web,14488
itaú,circulacion y transito,a,pagos web,14360
banco cooperativo coopcentral,servicios,p,pagos web,14300
"itau corpbanca colombia, s.a.",impuesto telefonico,n,pagos web,13146
nummi.s.a.,alumbrado publico,p,pagos web,13028
wizink bank sa,servicios,n,pagos web,12854
open bank s.a.,servicios,p,pagos web,12854
banco union antes giros,servicios,n,pagos web,12854
wizink bank sa,servicios,p,pagos web,12854
"bank of america, national asso",servicios,n,pagos web,12854
scotiabank colpatria s.a.,servicios,n,pagos web,12854
space coast c.u.,servicios,n,pagos web,12854
banco de chile,servicios,n,pagos web,12854
nexi payments spa,servicios,p,pagos web,12854
"itau corpbanca colombia, s.a.",impuesto telefonico,p,pagos web,12004
lulo bank,circulacion y transito,n,pagos web,11660
banco de occidente s.a.,alumbrado publico,p,pagos web,11438
"santander bank, na",impuesto predial,p,pagos web,11176
banco colpatria pricesmart,alumbrado publico,n,pagos web,10037
nu pagamentos sa,circulacion y transito,n,pagos web,10009
banco caja social,impuesto telefonico,n,pagos web,8717
payoneer europe limited,industria y comercio,n,pagos web,7934
nequi,otros ingresos,n,pagos web,7730
coofinep,impuesto telefonico,presencial,pagos presencial,7624
"banco promerica, s.a.",impuesto predial,p,pagos web,7561
visa,impuesto telefonico,p,pagos web,7544
banco colpatria pricesmart,circulacion y transito,n,pagos web,7457
caja social bcs,circulacion y transito,p,pagos web,7240
scotiabank colpatria,impuesto telefonico,n,pagos web,7144
scotiabank peru s.a.a.,servicios,n,pagos web,6427
banco azteca s.a. institucion,servicios,n,pagos web,6427
bancolombia s.a.- nequi,servicios,n,pagos web,6427
servicios financieros carrefou,servicios,n,pagos web,6427
n26 gmbh,servicios,n,pagos web,6427
banco multiple caribe internac,servicios,n,pagos web,6427
prepaid financial services ltd,servicios,n,pagos web,6427
"santander consumo, s.a. de c.v",servicios,n,pagos web,6427
"chase bank usa, n.a.",servicios,n,pagos web,6427
bankia,servicios,n,pagos web,6427
itaú,servicios,n,pagos web,6427
societe generale,servicios,n,pagos web,6427
compania de financiamiento tuy,servicios,n,pagos web,6427
banco gnb sudameris,servicios,p,pagos web,6400
banco caja social,alumbrado publico,a,pagos web,6191
amex - amex,industria y comercio,p,pagos web,6148
nummi.s.a.,impuesto predial,p,pagos web,5808
itaú,impuesto telefonico,p,pagos web,5733
banco de bogota,servicios,p,pagos web,5700
bancolombia,aportes voluntarios,presencial,pagos presencial,5600
occidente,aportes voluntarios,presencial,pagos presencial,5600
cfa,servicios,presencial,pagos presencial,5600
citibank,servicios,p,pagos web,5400
hsbc,impuesto telefonico,p,pagos web,5294
confiar cooperativa financiera,impuesto predial,w,pagos web,4893
nexi payments spa,impuesto predial,n,pagos web,4778
"credit agricole, s.a.",impuesto predial,n,pagos web,4302
banco bilbao vizcaya argentari,circulacion y transito,a,pagos web,4200
falabella,retencion ica,p,pagos web,3000
banco bbva colombia,alumbrado publico,p,pagos web,2989
banco av villas s.a.,impuesto telefonico,p,pagos web,2902
daviplata,otros ingresos,n,pagos web,2478
scotiabank caribbean holding l,impuesto predial,n,pagos web,1924
bbva,impuesto telefonico,p,pagos web,1600
caixa d'estalvis unio de caixe,industria y comercio,n,pagos web,1465
evolve bank & trust,impuesto predial,n,pagos web,1315
bnp paribas,impuesto predial,n,pagos web,1184
pse - cuentas débito ahorro y,otros ingresos,p,pagos web,1008
"td bank, n.a.",industria y comercio,p,pagos web,1002
nequi,rendimientos financieros y recursos no ejecutados,p,pagos web,875
visa,alumbrado publico,p,pagos web,731
rappipay daviplata,impuesto predial,a,pagos web,706
american express,impuesto predial,a,pagos web,334
iberia cards,impuesto predial,p,pagos web,151
suncoast schools f.c.u.,industria y comercio,n,pagos web,65
